Product,Year,Month,Price_Dollar
Whole,2013,January,2.385
Whole,2013,February,2.385
Whole,2013,March,2.385
Whole,2013,April,2.385
Whole,2013,May,2.385
Whole,2013,June,2.385
Whole,2013,July,2.385
Whole,2013,August,2.385
Whole,2013,September,2.385
Whole,2013,October,2.385
Whole,2013,November,2.385
Whole,2013,December,2.385
B/S Breast,2013,January,7.0375
B/S Breast,2013,February,7.0375
B/S Breast,2013,March,7.0375
B/S Breast,2013,April,7.0375
B/S Breast,2013,May,7.0375
B/S Breast,2013,June,7.0375
B/S Breast,2013,July,7.0375
B/S Breast,2013,August,7.0375
B/S Breast,2013,September,7.0375
B/S Breast,2013,October,7.0375
B/S Breast,2013,November,7.0375
B/S Breast,2013,December,7.0375
Bone-in Breast,2013,January,3.905
Bone-in Breast,2013,February,3.905
Bone-in Breast,2013,March,3.905
Bone-in Breast,2013,April,3.905
Bone-in Breast,2013,May,3.905
Bone-in Breast,2013,June,3.905
Bone-in Breast,2013,July,3.905
Bone-in Breast,2013,August,3.905
Bone-in Breast,2013,September,3.905
Bone-in Breast,2013,October,3.905
Bone-in Breast,2013,November,3.905
Bone-in Breast,2013,December,3.905
Whole Legs,2013,January,2.035
Whole Legs,2013,February,2.035
Whole Legs,2013,March,2.035
Whole Legs,2013,April,2.035
Whole Legs,2013,May,2.035
Whole Legs,2013,June,2.035
Whole Legs,2013,July,2.035
Whole Legs,2013,August,2.035
Whole Legs,2013,September,2.035
Whole Legs,2013,October,2.035
Whole Legs,2013,November,2.035
Whole Legs,2013,December,2.035
Thighs,2013,January,2.1625
Thighs,2013,February,2.1625
Thighs,2013,March,2.1625
Thighs,2013,April,2.1625
Thighs,2013,May,2.1625
Thighs,2013,June,2.1625
Thighs,2013,July,2.1625
Thighs,2013,August,2.1625
Thighs,2013,September,2.1625
Thighs,2013,October,2.1625
Thighs,2013,November,2.1625
Thighs,2013,December,2.1625
Whole,2012,January,2.35
Whole,2012,February,2.385
Whole,2012,March,2.385
Whole,2012,April,2.385
Whole,2012,May,2.385
Whole,2012,June,2.385
Whole,2012,July,2.385
Whole,2012,August,2.385
Whole,2012,September,2.385
Whole,2012,October,2.385
Whole,2012,November,2.385
Whole,2012,December,2.385
B/S Breast,2012,January,6.375
B/S Breast,2012,February,7
B/S Breast,2012,March,7
B/S Breast,2012,April,7
B/S Breast,2012,May,7
B/S Breast,2012,June,7
B/S Breast,2012,July,7
B/S Breast,2012,August,7
B/S Breast,2012,September,7
B/S Breast,2012,October,7
B/S Breast,2012,November,7.0375
B/S Breast,2012,December,7.0375
Bone-in Breast,2012,January,3.905
Bone-in Breast,2012,February,3.905
Bone-in Breast,2012,March,3.905
Bone-in Breast,2012,April,3.905
Bone-in Breast,2012,May,3.905
Bone-in Breast,2012,June,3.905
Bone-in Breast,2012,July,3.905
Bone-in Breast,2012,August,3.905
Bone-in Breast,2012,September,3.905
Bone-in Breast,2012,October,3.905
Bone-in Breast,2012,November,3.905
Bone-in Breast,2012,December,3.905
Whole Legs,2012,January,2.035
Whole Legs,2012,February,2.035
Whole Legs,2012,March,2.035
Whole Legs,2012,April,2.035
Whole Legs,2012,May,2.035
Whole Legs,2012,June,2.035
Whole Legs,2012,July,2.035
Whole Legs,2012,August,2.035
Whole Legs,2012,September,2.035
Whole Legs,2012,October,2.035
Whole Legs,2012,November,2.035
Whole Legs,2012,December,2.035
Thighs,2012,January,2.15
Thighs,2012,February,2.15
Thighs,2012,March,2.15
Thighs,2012,April,2.15
Thighs,2012,May,2.15
Thighs,2012,June,2.15
Thighs,2012,July,2.15
Thighs,2012,August,2.1625
Thighs,2012,September,2.1625
Thighs,2012,October,2.1625
Thighs,2012,November,2.1625
Thighs,2012,December,2.1625
Whole,2011,January,2.35
Whole,2011,February,2.35
Whole,2011,March,2.35
Whole,2011,April,2.35
Whole,2011,May,2.35
Whole,2011,June,2.35
Whole,2011,July,2.35
Whole,2011,August,2.35
Whole,2011,September,2.35
Whole,2011,October,2.35
Whole,2011,November,2.35
Whole,2011,December,2.35
B/S Breast,2011,January,6.375
B/S Breast,2011,February,6.375
B/S Breast,2011,March,6.375
B/S Breast,2011,April,6.375
B/S Breast,2011,May,6.375
B/S Breast,2011,June,6.375
B/S Breast,2011,July,6.375
B/S Breast,2011,August,6.375
B/S Breast,2011,September,6.375
B/S Breast,2011,October,6.375
B/S Breast,2011,November,6.375
B/S Breast,2011,December,6.375
Bone-in Breast,2011,January,3.905
Bone-in Breast,2011,February,3.905
Bone-in Breast,2011,March,3.905
Bone-in Breast,2011,April,3.905
Bone-in Breast,2011,May,3.905
Bone-in Breast,2011,June,3.905
Bone-in Breast,2011,July,3.905
Bone-in Breast,2011,August,3.905
Bone-in Breast,2011,September,3.905
Bone-in Breast,2011,October,3.905
Bone-in Breast,2011,November,3.905
Bone-in Breast,2011,December,3.905
Whole Legs,2011,January,2.035
Whole Legs,2011,February,2.035
Whole Legs,2011,March,2.035
Whole Legs,2011,April,2.035
Whole Legs,2011,May,2.035
Whole Legs,2011,June,2.035
Whole Legs,2011,July,2.035
Whole Legs,2011,August,2.035
Whole Legs,2011,September,2.035
Whole Legs,2011,October,2.035
Whole Legs,2011,November,2.035
Whole Legs,2011,December,2.035
Thighs,2011,January,2.15
Thighs,2011,February,2.15
Thighs,2011,March,2.15
Thighs,2011,April,2.15
Thighs,2011,May,2.15
Thighs,2011,June,2.15
Thighs,2011,July,2.15
Thighs,2011,August,2.15
Thighs,2011,September,2.15
Thighs,2011,October,2.15
Thighs,2011,November,2.15
Thighs,2011,December,2.15
Whole,2010,January,2.48
Whole,2010,February,2.48
Whole,2010,March,2.48
Whole,2010,April,2.415
Whole,2010,May,2.35
Whole,2010,June,2.35
Whole,2010,July,2.415
Whole,2010,August,2.35
Whole,2010,September,2.35
Whole,2010,October,2.35
Whole,2010,November,2.35
Whole,2010,December,2.35
B/S Breast,2010,January,6.455
B/S Breast,2010,February,6.455
B/S Breast,2010,March,6.455
B/S Breast,2010,April,6.455
B/S Breast,2010,May,6.455
B/S Breast,2010,June,6.455
B/S Breast,2010,July,6.455
B/S Breast,2010,August,6.422999999999999
B/S Breast,2010,September,6.375
B/S Breast,2010,October,6.375
B/S Breast,2010,November,6.375
B/S Breast,2010,December,6.375
Bone-in Breast,2010,January,3.905
Bone-in Breast,2010,February,3.905
Bone-in Breast,2010,March,3.905
Bone-in Breast,2010,April,3.905
Bone-in Breast,2010,May,3.905
Bone-in Breast,2010,June,3.905
Bone-in Breast,2010,July,3.905
Bone-in Breast,2010,August,3.905
Bone-in Breast,2010,September,3.905
Bone-in Breast,2010,October,3.905
Bone-in Breast,2010,November,3.905
Bone-in Breast,2010,December,3.905
Whole Legs,2010,January,2.035
Whole Legs,2010,February,2.035
Whole Legs,2010,March,2.035
Whole Legs,2010,April,2.035
Whole Legs,2010,May,2.035
Whole Legs,2010,June,2.035
Whole Legs,2010,July,2.035
Whole Legs,2010,August,2.035
Whole Legs,2010,September,2.035
Whole Legs,2010,October,2.035
Whole Legs,2010,November,2.035
Whole Legs,2010,December,2.035
Thighs,2010,January,2.22
Thighs,2010,February,2.22
Thighs,2010,March,2.22
Thighs,2010,April,2.22
Thighs,2010,May,2.22
Thighs,2010,June,2.22
Thighs,2010,July,2.22
Thighs,2010,August,2.1919999999999997
Thighs,2010,September,2.15
Thighs,2010,October,2.15
Thighs,2010,November,2.15
Thighs,2010,December,2.15
Whole,2009,January,2.48
Whole,2009,February,2.48
Whole,2009,March,2.48
Whole,2009,April,2.48
Whole,2009,May,2.48
Whole,2009,June,2.48
Whole,2009,July,2.48
Whole,2009,August,2.48
Whole,2009,September,2.48
Whole,2009,October,2.48
Whole,2009,November,2.48
Whole,2009,December,2.48
B/S Breast,2009,January,6.455
B/S Breast,2009,February,6.455
B/S Breast,2009,March,6.455
B/S Breast,2009,April,6.455
B/S Breast,2009,May,6.455
B/S Breast,2009,June,6.455
B/S Breast,2009,July,6.455
B/S Breast,2009,August,6.455
B/S Breast,2009,September,6.455
B/S Breast,2009,October,6.455
B/S Breast,2009,November,6.455
B/S Breast,2009,December,6.455
Bone-in Breast,2009,January,3.905
Bone-in Breast,2009,February,3.905
Bone-in Breast,2009,March,3.905
Bone-in Breast,2009,April,3.905
Bone-in Breast,2009,May,3.905
Bone-in Breast,2009,June,3.905
Bone-in Breast,2009,July,3.905
Bone-in Breast,2009,August,3.905
Bone-in Breast,2009,September,3.905
Bone-in Breast,2009,October,3.905
Bone-in Breast,2009,November,3.905
Bone-in Breast,2009,December,3.905
Whole Legs,2009,January,2.035
Whole Legs,2009,February,2.035
Whole Legs,2009,March,2.035
Whole Legs,2009,April,2.035
Whole Legs,2009,May,2.035
Whole Legs,2009,June,2.035
Whole Legs,2009,July,2.035
Whole Legs,2009,August,2.035
Whole Legs,2009,September,2.035
Whole Legs,2009,October,2.035
Whole Legs,2009,November,2.035
Whole Legs,2009,December,2.035
Thighs,2009,January,2.22
Thighs,2009,February,2.22
Thighs,2009,March,2.22
Thighs,2009,April,2.22
Thighs,2009,May,2.22
Thighs,2009,June,2.22
Thighs,2009,July,2.22
Thighs,2009,August,2.22
Thighs,2009,September,2.22
Thighs,2009,October,2.22
Thighs,2009,November,2.22
Thighs,2009,December,2.22
Whole,2008,January,2.205
Whole,2008,February,2.205
Whole,2008,March,2.205
Whole,2008,April,2.205
Whole,2008,May,2.205
Whole,2008,June,2.48
Whole,2008,July,2.48
Whole,2008,August,2.48
Whole,2008,September,2.48
Whole,2008,October,2.48
Whole,2008,November,2.48
Whole,2008,December,2.48
B/S Breast,2008,January,6.455
B/S Breast,2008,February,6.455
B/S Breast,2008,March,6.455
B/S Breast,2008,April,6.455
B/S Breast,2008,May,6.455
B/S Breast,2008,June,6.455
B/S Breast,2008,July,6.455
B/S Breast,2008,August,6.455
B/S Breast,2008,September,6.455
B/S Breast,2008,October,6.455
B/S Breast,2008,November,6.455
B/S Breast,2008,December,6.455
Bone-in Breast,2008,January,3.905
Bone-in Breast,2008,February,3.905
Bone-in Breast,2008,March,3.905
Bone-in Breast,2008,April,3.905
Bone-in Breast,2008,May,3.905
Bone-in Breast,2008,June,3.905
Bone-in Breast,2008,July,3.905
Bone-in Breast,2008,August,3.905
Bone-in Breast,2008,September,3.905
Bone-in Breast,2008,October,3.905
Bone-in Breast,2008,November,3.905
Bone-in Breast,2008,December,3.905
Whole Legs,2008,January,2.035
Whole Legs,2008,February,2.035
Whole Legs,2008,March,2.035
Whole Legs,2008,April,2.035
Whole Legs,2008,May,2.035
Whole Legs,2008,June,2.035
Whole Legs,2008,July,2.035
Whole Legs,2008,August,2.035
Whole Legs,2008,September,2.035
Whole Legs,2008,October,2.035
Whole Legs,2008,November,2.035
Whole Legs,2008,December,2.035
Thighs,2008,January,2.22
Thighs,2008,February,2.22
Thighs,2008,March,2.22
Thighs,2008,April,2.22
Thighs,2008,May,2.22
Thighs,2008,June,2.22
Thighs,2008,July,2.22
Thighs,2008,August,2.22
Thighs,2008,September,2.22
Thighs,2008,October,2.22
Thighs,2008,November,2.22
Thighs,2008,December,2.22
Whole,2007,January,2.205
Whole,2007,February,2.205
Whole,2007,March,2.205
Whole,2007,April,2.205
Whole,2007,May,2.205
Whole,2007,June,2.205
Whole,2007,July,2.205
Whole,2007,August,2.205
Whole,2007,September,2.205
Whole,2007,October,2.205
Whole,2007,November,2.205
Whole,2007,December,2.205
B/S Breast,2007,January,6.455
B/S Breast,2007,February,6.455
B/S Breast,2007,March,6.455
B/S Breast,2007,April,6.455
B/S Breast,2007,May,6.455
B/S Breast,2007,June,6.455
B/S Breast,2007,July,6.455
B/S Breast,2007,August,6.455
B/S Breast,2007,September,6.455
B/S Breast,2007,October,6.455
B/S Breast,2007,November,6.455
B/S Breast,2007,December,6.455
Bone-in Breast,2007,January,3.905
Bone-in Breast,2007,February,3.905
Bone-in Breast,2007,March,3.905
Bone-in Breast,2007,April,3.905
Bone-in Breast,2007,May,3.905
Bone-in Breast,2007,June,3.905
Bone-in Breast,2007,July,3.905
Bone-in Breast,2007,August,3.905
Bone-in Breast,2007,September,3.905
Bone-in Breast,2007,October,3.905
Bone-in Breast,2007,November,3.905
Bone-in Breast,2007,December,3.905
Whole Legs,2007,January,2.035
Whole Legs,2007,February,2.035
Whole Legs,2007,March,2.035
Whole Legs,2007,April,2.035
Whole Legs,2007,May,2.035
Whole Legs,2007,June,2.035
Whole Legs,2007,July,2.035
Whole Legs,2007,August,2.035
Whole Legs,2007,September,2.035
Whole Legs,2007,October,2.035
Whole Legs,2007,November,2.035
Whole Legs,2007,December,2.035
Thighs,2007,January,2.22
Thighs,2007,February,2.22
Thighs,2007,March,2.22
Thighs,2007,April,2.22
Thighs,2007,May,2.22
Thighs,2007,June,2.22
Thighs,2007,July,2.22
Thighs,2007,August,2.22
Thighs,2007,September,2.22
Thighs,2007,October,2.22
Thighs,2007,November,2.22
Thighs,2007,December,2.22
Whole,2006,January,2.17
Whole,2006,February,2.17
Whole,2006,March,2.19625
Whole,2006,April,2.205
Whole,2006,May,2.205
Whole,2006,June,2.205
Whole,2006,July,2.205
Whole,2006,August,2.205
Whole,2006,September,2.205
Whole,2006,October,2.205
Whole,2006,November,2.205
Whole,2006,December,2.205
B/S Breast,2006,January,6.455
B/S Breast,2006,February,6.455
B/S Breast,2006,March,6.455
B/S Breast,2006,April,6.455
B/S Breast,2006,May,6.455
B/S Breast,2006,June,6.455
B/S Breast,2006,July,6.455
B/S Breast,2006,August,6.455
B/S Breast,2006,September,6.455
B/S Breast,2006,October,6.455
B/S Breast,2006,November,6.455
B/S Breast,2006,December,6.455
Bone-in Breast,2006,January,3.905
Bone-in Breast,2006,February,3.905
Bone-in Breast,2006,March,3.905
Bone-in Breast,2006,April,3.905
Bone-in Breast,2006,May,3.905
Bone-in Breast,2006,June,3.905
Bone-in Breast,2006,July,3.905
Bone-in Breast,2006,August,3.905
Bone-in Breast,2006,September,3.905
Bone-in Breast,2006,October,3.905
Bone-in Breast,2006,November,3.905
Bone-in Breast,2006,December,3.905
Whole Legs,2006,January,2.035
Whole Legs,2006,February,2.035
Whole Legs,2006,March,2.035
Whole Legs,2006,April,2.035
Whole Legs,2006,May,2.035
Whole Legs,2006,June,2.035
Whole Legs,2006,July,2.035
Whole Legs,2006,August,2.035
Whole Legs,2006,September,2.035
Whole Legs,2006,October,2.035
Whole Legs,2006,November,2.035
Whole Legs,2006,December,2.035
Thighs,2006,January,2.22
Thighs,2006,February,2.22
Thighs,2006,March,2.22
Thighs,2006,April,2.22
Thighs,2006,May,2.22
Thighs,2006,June,2.22
Thighs,2006,July,2.22
Thighs,2006,August,2.22
Thighs,2006,September,2.22
Thighs,2006,October,2.22
Thighs,2006,November,2.22
Thighs,2006,December,2.22
Whole,2005,January,2.17
Whole,2005,February,2.17
Whole,2005,March,2.17
Whole,2005,April,2.17
Whole,2005,May,2.17
Whole,2005,June,2.17
Whole,2005,July,2.17
Whole,2005,August,2.17
Whole,2005,September,2.17
Whole,2005,October,2.17
Whole,2005,November,2.17
Whole,2005,December,2.17
B/S Breast,2005,January,6.44
B/S Breast,2005,February,6.455
B/S Breast,2005,March,6.455
B/S Breast,2005,April,6.455
B/S Breast,2005,May,6.455
B/S Breast,2005,June,6.455
B/S Breast,2005,July,6.455
B/S Breast,2005,August,6.455
B/S Breast,2005,September,6.455
B/S Breast,2005,October,6.455
B/S Breast,2005,November,6.455
B/S Breast,2005,December,6.455
Bone-in Breast,2005,January,3.905
Bone-in Breast,2005,February,3.905
Bone-in Breast,2005,March,3.905
Bone-in Breast,2005,April,3.905
Bone-in Breast,2005,May,3.905
Bone-in Breast,2005,June,3.905
Bone-in Breast,2005,July,3.905
Bone-in Breast,2005,August,3.905
Bone-in Breast,2005,September,3.905
Bone-in Breast,2005,October,3.905
Bone-in Breast,2005,November,3.905
Bone-in Breast,2005,December,3.905
Whole Legs,2005,January,2.035
Whole Legs,2005,February,2.035
Whole Legs,2005,March,2.035
Whole Legs,2005,April,2.035
Whole Legs,2005,May,2.035
Whole Legs,2005,June,2.035
Whole Legs,2005,July,2.035
Whole Legs,2005,August,2.035
Whole Legs,2005,September,2.035
Whole Legs,2005,October,2.035
Whole Legs,2005,November,2.035
Whole Legs,2005,December,2.035
Thighs,2005,January,2.13
Thighs,2005,February,2.22
Thighs,2005,March,2.22
Thighs,2005,April,2.22
Thighs,2005,May,2.22
Thighs,2005,June,2.22
Thighs,2005,July,2.22
Thighs,2005,August,2.22
Thighs,2005,September,2.22
Thighs,2005,October,2.22
Thighs,2005,November,2.22
Thighs,2005,December,2.22
Whole,2004,January,1.975
Whole,2004,February,1.975
Whole,2004,March,2.09
Whole,2004,April,2.12
Whole,2004,May,2.145
Whole,2004,June,2.16375
Whole,2004,July,2.17
Whole,2004,August,2.17
Whole,2004,September,2.17
Whole,2004,October,2.17
Whole,2004,November,2.17
Whole,2004,December,2.17
B/S Breast,2004,January,6.455
B/S Breast,2004,February,6.425
B/S Breast,2004,March,6.425
B/S Breast,2004,April,6.425
B/S Breast,2004,May,6.425
B/S Breast,2004,June,6.41
B/S Breast,2004,July,6.425
B/S Breast,2004,August,6.425
B/S Breast,2004,September,6.425
B/S Breast,2004,October,6.425
B/S Breast,2004,November,6.425
B/S Breast,2004,December,6.425
Bone-in Breast,2004,January,NA
Bone-in Breast,2004,February,NA
Bone-in Breast,2004,March,NA
Bone-in Breast,2004,April,NA
Bone-in Breast,2004,May,NA
Bone-in Breast,2004,June,NA
Bone-in Breast,2004,July,3.905
Bone-in Breast,2004,August,3.905
Bone-in Breast,2004,September,3.905
Bone-in Breast,2004,October,3.905
Bone-in Breast,2004,November,3.905
Bone-in Breast,2004,December,3.905
Whole Legs,2004,January,1.935
Whole Legs,2004,February,1.935
Whole Legs,2004,March,1.935
Whole Legs,2004,April,1.935
Whole Legs,2004,May,1.935
Whole Legs,2004,June,2.01875
Whole Legs,2004,July,2.035
Whole Legs,2004,August,2.035
Whole Legs,2004,September,2.035
Whole Legs,2004,October,2.035
Whole Legs,2004,November,2.035
Whole Legs,2004,December,2.035
Thighs,2004,January,NA
Thighs,2004,February,2.03
Thighs,2004,March,2.03
Thighs,2004,April,2.03
Thighs,2004,May,2.03
Thighs,2004,June,2.00375
Thighs,2004,July,1.995
Thighs,2004,August,1.995
Thighs,2004,September,1.995
Thighs,2004,October,1.995
Thighs,2004,November,1.995
Thighs,2004,December,1.995
