state,county,total_employees
KY,JEFFERSON,413
KY,JESSAMINE,13
KY,JOHNSON,50
KY,KENTON,244
KY,KNOTT,16
KY,KNOX,38
KY,LARUE,7
KY,LAUREL,113
KY,LAWRENCE,97
KY,LEE,8
KY,LESLIE,3
KY,LETCHER,22
KY,LEWIS,55
KY,LINCOLN,113
KY,LIVINGSTON,11
KY,LOGAN,16
KY,LYON,6
KY,MADISON,47
KY,MAGOFFIN,1
KY,MARION,7
KY,MARSHALL,22
KY,MARTIN,16
KY,MASON,8
KY,MCCRACKEN,84
KY,MCCREARY,7
KY,MCLEAN,5
KY,MEADE,28
KY,MENIFEE,1
KY,MERCER,55
KY,METCALFE,1
KY,MONROE,4
KY,MONTGOMERY,5
KY,MORGAN,1
KY,MUHLENBERG,22
KY,NELSON,59
KY,NICHOLAS,11
KY,OHIO,16
KY,OLDHAM,35
KY,OWEN,3
KY,OWSLEY,2
KY,PENDLETON,31
KY,PERRY,39
KY,PIKE,231
KY,POWELL,6
KY,PULASKI,104
KY,ROBERTSON,2
KY,ROCKCASTLE,32
KY,ROWAN,4
KY,RUSSELL,5
KY,SCOTT,15
KY,SHELBY,33
KY,SIMPSON,1
KY,SPENCER,22
KY,TAYLOR,2
KY,TODD,15
KY,TRIGG,3
KY,TRIMBLE,4
KY,UNION,7
KY,WARREN,12
KY,WASHINGTON,3
KY,WAYNE,2
KY,WEBSTER,10
KY,WHITLEY,322
KY,WOLFE,3
KY,WOODFORD,5
LA,ACADIA,13
LA,ALLEN,19
LA,ASCENSION,103
LA,ASSUMPTION,5
LA,AVOYELLES,37
LA,BEAUREGARD,43
LA,BIENVILLE,21
LA,BOSSIER,285
LA,CADDO,546
LA,CALCASIEU,280
LA,CALDWELL,7
LA,CAMERON,1
LA,CATAHOULA,1
LA,CLAIBORNE,31
LA,CONCORDIA,3
LA,DE SOTO,40
LA,EAST BATON ROUGE,285
LA,EAST CARROLL,1
LA,EAST FELICIANA,11
LA,EVANGELINE,11
LA,FRANKLIN,4
LA,GRANT,25
LA,IBERIA,25
LA,IBERVILLE,86
LA,JACKSON,20
LA,JEFFERSON,368
LA,JEFFERSON DAVIS,6
LA,LA SALLE,5
LA,LAFAYETTE,124
LA,LAFOURCHE,10
LA,LINCOLN,16
LA,LIVINGSTON,78
LA,MADISON,10
LA,MOREHOUSE,19
LA,NATCHITOCHES,22
LA,ORLEANS,240
LA,OUACHITA,128
LA,PLAQUEMINES,17
LA,POINTE COUPEE,67
LA,RAPIDES,158
LA,RED RIVER,6
LA,RICHLAND,2
LA,SABINE,8
LA,ST BERNARD,35
LA,ST CHARLES,46
LA,ST JAMES,11
LA,ST JOHN THE BAPTIST,38
LA,ST LANDRY,91
LA,ST MARTIN,31
LA,ST MARY,2
LA,ST TAMMANY,128
LA,TANGIPAHOA,105
LA,TENSAS,1
LA,TERREBONNE,14
LA,UNION,8
LA,VERMILION,5
LA,VERNON,42
LA,WASHINGTON,20
LA,WEBSTER,68
LA,WEST BATON ROUGE,73
LA,WEST CARROLL,3
LA,WEST FELICIANA,5
LA,WINN,2
MA,BARNSTABLE,44
MA,BERKSHIRE,50
MA,BRISTOL,232
MA,ESSEX,314
MA,FRANKLIN,113
MA,HAMPDEN,202
MA,HAMPSHIRE,68
MA,MIDDLESEX,673
MA,NORFOLK,386
MA,PLYMOUTH,429
MA,SUFFOLK,558
MA,WORCESTER,310
MD,ALLEGANY,509
MD,ANNE ARUNDEL,406
MD,BALTIMORE,415
MD,CALVERT,103
MD,CAROLINE,8
MD,CARROLL,118
MD,CECIL,393
MD,CHARLES,112
MD,DORCHESTER,8
MD,FREDERICK,157
MD,GARRETT,53
MD,HARFORD,248
MD,HOWARD,79
MD,INDEPENDENT CITY,722
MD,KENT,3
MD,MONTGOMERY,302
MD,PRINCE GEORGES,809
MD,QUEEN ANNES,22
MD,SOMERSET,1
MD,ST MARYS,94
MD,TALBOT,2
MD,WASHINGTON,127
MD,WICOMICO,12
MD,WORCESTER,6
ME,ANDROSCOGGIN,22
ME,AROOSTOOK,57
ME,CUMBERLAND,71
ME,FRANKLIN,2
ME,HANCOCK,3
ME,KENNEBEC,109
ME,KNOX,5
ME,LINCOLN,7
ME,OXFORD,36
ME,PENOBSCOT,117
ME,PISCATAQUIS,75
ME,SAGADAHOC,8
ME,SOMERSET,67
ME,WALDO,11
ME,WASHINGTON,17
ME,YORK,47
MI,ALCONA,1
MI,ALGER,8
MI,ALLEGAN,27
MI,ALPENA,3
MI,ARENAC,19
MI,BARAGA,4
MI,BARRY,16
MI,BAY,58
MI,BENZIE,2
MI,BERRIEN,136
MI,BRANCH,13
MI,CALHOUN,164
MI,CASS,89
MI,CHEBOYGAN,2
MI,CHIPPEWA,8
MI,CLARE,5
MI,CLINTON,10
MI,CRAWFORD,1
MI,DELTA,188
MI,DICKINSON,7
MI,EATON,42
MI,EMMET,1
MI,GENESEE,195
MI,GLADWIN,4
MI,GOGEBIC,3
MI,GRAND TRAVERSE,4
MI,GRATIOT,5
MI,HILLSDALE,17
MI,HOUGHTON,6
MI,HURON,9
MI,INGHAM,46
MI,IONIA,32
MI,IOSCO,13
MI,IRON,3
MI,ISABELLA,5
MI,JACKSON,77
MI,KALAMAZOO,58
MI,KALKASKA,3
MI,KENT,149
MI,LAKE,1
MI,LAPEER,36
MI,LEELANAU,3
MI,LENAWEE,70
MI,LIVINGSTON,33
MI,LUCE,2
MI,MACKINAC,2
MI,MACOMB,170
MI,MANISTEE,12
MI,MARQUETTE,137
MI,MASON,17
MI,MECOSTA,5
MI,MENOMINEE,14
MI,MIDLAND,5
MI,MONROE,266
MI,MONTCALM,17
MI,MUSKEGON,24
MI,NEWAYGO,15
MI,OAKLAND,265
MI,OCEANA,1
MI,OGEMAW,6
MI,ONTONAGON,11
MI,OSCEOLA,2
MI,OSCODA,1
MI,OTSEGO,1
MI,OTTAWA,40
MI,PRESQUE ISLE,1
MI,ROSCOMMON,2
MI,SAGINAW,80
MI,SANILAC,14
MI,SCHOOLCRAFT,13
MI,SHIAWASSEE,100
MI,ST CLAIR,109
MI,ST JOSEPH,42
MI,TUSCOLA,38
MI,VAN BUREN,27
MI,WASHTENAW,63
MI,WAYNE,849
MI,WEXFORD,5
MN,AITKIN,19
MN,ANOKA,346
MN,BECKER,62
MN,BELTRAMI,10
MN,BENTON,20
MN,BIG STONE,10
MN,BLUE EARTH,59
MN,BROWN,25
MN,CARLTON,181
MN,CARVER,41
MN,CASS,20
MN,CHIPPEWA,6
MN,CHISAGO,91
MN,CLAY,175
MN,CLEARWATER,9
MN,COTTONWOOD,4
MN,CROW WING,143
MN,DAKOTA,348
MN,DODGE,1
MN,DOUGLAS,44
MN,FARIBAULT,8
MN,FILLMORE,4
MN,FREEBORN,24
MN,GOODHUE,35
MN,GRANT,3
MN,HENNEPIN,651
MN,HOUSTON,42
MN,HUBBARD,14
MN,ISANTI,57
MN,ITASCA,37
MN,JACKSON,7
MN,KANABEC,10
MN,KANDIYOHI,157
MN,KITTSON,4
MN,KOOCHICHING,43
MN,LAC QUI PARLE,2
MN,LAKE,68
MN,LAKE OF THE WOODS,6
MN,LE SUEUR,27
MN,LINCOLN,4
MN,LYON,10
MN,MAHNOMEN,7
MN,MARSHALL,13
MN,MARTIN,3
MN,MCLEOD,46
MN,MEEKER,32
MN,MILLE LACS,34
MN,MORRISON,43
MN,MOWER,20
MN,MURRAY,3
MN,NICOLLET,6
MN,NOBLES,6
MN,NORMAN,9
MN,OLMSTED,18
MN,OTTER TAIL,54
MN,PENNINGTON,62
MN,PINE,35
MN,PIPESTONE,5
MN,POLK,106
MN,POPE,43
MN,RAMSEY,579
MN,RED LAKE,10
MN,REDWOOD,9
MN,RENVILLE,13
MN,RICE,37
MN,ROCK,9
MN,ROSEAU,4
MN,SCOTT,72
MN,SHERBURNE,148
MN,SIBLEY,11
MN,ST LOUIS,595
MN,STEARNS,100
MN,STEELE,16
MN,STEVENS,9
MN,SWIFT,16
MN,TODD,28
MN,TRAVERSE,2
MN,WABASHA,13
MN,WADENA,9
MN,WASECA,49
MN,WASHINGTON,207
MN,WATONWAN,32
MN,WILKIN,34
MN,WINONA,26
MN,WRIGHT,62
MN,YELLOW MEDICINE,5
MO,ADAIR,21
MO,ANDREW,17
MO,ATCHISON,5
MO,AUDRAIN,25
MO,BARRY,17
MO,BARTON,26
MO,BATES,12
MO,BENTON,29
MO,BOLLINGER,12
MO,BOONE,52
MO,BUCHANAN,150
MO,BUTLER,84
MO,CALDWELL,38
MO,CALLAWAY,15
MO,CAMDEN,11
MO,CAPE GIRARDEAU,86
MO,CARROLL,23
MO,CARTER,20
MO,CASS,235
MO,CEDAR,10
MO,CHARITON,50
MO,CHRISTIAN,112
MO,CLARK,29
MO,CLAY,681
MO,CLINTON,97
MO,COLE,46
MO,COOPER,60
MO,CRAWFORD,17
MO,DADE,19
MO,DALLAS,8
MO,DAVIESS,21
MO,DEKALB,36
MO,DENT,2
MO,DOUGLAS,1
MO,DUNKLIN,24
MO,FRANKLIN,54
MO,GASCONADE,14
MO,GENTRY,5
MO,GREENE,362
MO,GRUNDY,23
MO,HARRISON,19
MO,HENRY,20
MO,HICKORY,3
MO,HOLT,16
MO,HOWARD,7
MO,HOWELL,87
MO,INDEPENDENT CITY,226
MO,IRON,13
MO,JACKSON,2055
MO,JASPER,127
MO,JEFFERSON,436
MO,JOHNSON,42
MO,KNOX,16
MO,LACLEDE,18
MO,LAFAYETTE,74
MO,LAWRENCE,64
MO,LEWIS,20
MO,LINCOLN,18
MO,LINN,140
MO,LIVINGSTON,44
MO,MACON,47
MO,MADISON,30
MO,MARIES,1
MO,MARION,93
MO,MCDONALD,5
MO,MERCER,9
MO,MILLER,15
MO,MISSISSIPPI,1
MO,MONITEAU,24
MO,MONROE,24
MO,MONTGOMERY,9
MO,MORGAN,24
MO,NEW MADRID,10
MO,NEWTON,38
MO,NODAWAY,7
MO,OREGON,132
MO,OSAGE,12
MO,OZARK,5
MO,PEMISCOT,3
MO,PERRY,29
MO,PETTIS,95
MO,PHELPS,18
MO,PIKE,33
MO,PLATTE,98
MO,POLK,38
MO,PULASKI,5
MO,PUTNAM,1
MO,RALLS,23
MO,RANDOLPH,138
MO,RAY,126
MO,REYNOLDS,5
MO,RIPLEY,48
MO,SAINTE GENEVIEVE,27
MO,SALINE,27
MO,SCHUYLER,8
MO,SCOTLAND,1
MO,SCOTT,126
MO,SHANNON,10
MO,SHELBY,12
MO,ST CHARLES,166
MO,ST CLAIR,8
MO,ST FRANCOIS,202
MO,ST LOUIS,316
MO,STODDARD,47
MO,STONE,20
MO,SULLIVAN,6
MO,TANEY,19
MO,TEXAS,34
MO,VERNON,25
MO,WARREN,8
MO,WASHINGTON,50
MO,WAYNE,38
MO,WEBSTER,86
MO,WORTH,3
MO,WRIGHT,40
MS,ADAMS,3
MS,ALCORN,45
MS,AMITE,16
MS,ATTALA,33
MS,BENTON,12
MS,CARROLL,14
MS,CHICKASAW,11
MS,CHOCTAW,6
MS,CLAIBORNE,3
MS,CLARKE,15
MS,CLAY,10
MS,COAHOMA,1
MS,COPIAH,16
MS,COVINGTON,8
MS,DESOTO,341
MS,FORREST,64
MS,FRANKLIN,12
MS,GEORGE,21
MS,GREENE,2
MS,GRENADA,15
MS,HANCOCK,57
MS,HARRISON,46
MS,HINDS,130
MS,HOLMES,23
MS,HUMPHREYS,3
MS,ISSAQUENA,1
MS,ITAWAMBA,7
MS,JACKSON,42
MS,JASPER,10
MS,JEFFERSON,4
MS,JONES,10
MS,KEMPER,6
MS,LAFAYETTE,5
MS,LAMAR,27
MS,LAUDERDALE,169
MS,LAWRENCE,15
MS,LEAKE,6
MS,LEE,23
MS,LEFLORE,1
MS,LINCOLN,46
MS,LOWNDES,79
MS,MADISON,45
MS,MARION,24
MS,MARSHALL,50
MS,MONROE,65
MS,MONTGOMERY,15
MS,NESHOBA,3
MS,NEWTON,47
MS,NOXUBEE,8
MS,OKTIBBEHA,10
MS,PANOLA,13
MS,PEARL RIVER,67
MS,PERRY,11
MS,PIKE,56
MS,PONTOTOC,3
MS,PRENTISS,1
MS,QUITMAN,5
MS,RANKIN,104
MS,SCOTT,12
MS,SHARKEY,1
MS,SIMPSON,15
MS,STONE,8
MS,SUNFLOWER,2
MS,TALLAHATCHIE,3
MS,TATE,36
MS,TIPPAH,8
MS,TISHOMINGO,10
MS,TUNICA,3
MS,UNION,8
MS,WALTHALL,5
MS,WARREN,49
MS,WASHINGTON,4
MS,WAYNE,18
MS,WEBSTER,6
MS,WILKINSON,5
MS,WINSTON,16
MS,YALOBUSHA,10
MS,YAZOO,7
MT,BEAVERHEAD,8
MT,BIG HORN,5
MT,BLAINE,32
MT,BROADWATER,4
MT,CARBON,40
MT,CASCADE,199
MT,CHOUTEAU,9
MT,CUSTER,61
MT,DANIELS,2
MT,DAWSON,301
MT,DEER LODGE,18
MT,FALLON,4
MT,FERGUS,11
MT,FLATHEAD,367
MT,GALLATIN,30
MT,GLACIER,29
MT,GOLDEN VALLEY,2
MT,GRANITE,8
MT,HILL,513
MT,JEFFERSON,8
MT,JUDITH BASIN,2
MT,LAKE,46
MT,LEWIS AND CLARK,83
MT,LIBERTY,9
MT,LINCOLN,31
MT,MADISON,1
MT,MCCONE,1
MT,MEAGHER,1
MT,MINERAL,14
MT,MISSOULA,362
MT,MUSSELSHELL,3
MT,PARK,64
MT,PHILLIPS,9
MT,PONDERA,25
MT,POWDER RIVER,3
MT,POWELL,9
MT,PRAIRIE,11
MT,RAVALLI,49
MT,RICHLAND,26
MT,ROOSEVELT,9
MT,ROSEBUD,84
MT,SANDERS,37
MT,SHERIDAN,7
MT,SILVER BOW,20
MT,STILLWATER,52
MT,SWEET GRASS,7
MT,TETON,5
MT,TOOLE,28
MT,TREASURE,2
MT,VALLEY,143
MT,WHEATLAND,1
MT,WIBAUX,7
MT,YELLOWSTONE,525
NC,ALAMANCE,14
NC,ALEXANDER,10
NC,ALLEGHANY,1
NC,ANSON,12
NC,ASHE,3
NC,AVERY,4
NC,BEAUFORT,4
NC,BLADEN,7
NC,BRUNSWICK,22
NC,BUNCOMBE,94
NC,BURKE,15
NC,CABARRUS,84
NC,CALDWELL,5
NC,CAMDEN,10
NC,CARTERET,5
NC,CASWELL,7
NC,CATAWBA,22
NC,CHATHAM,3
NC,CHEROKEE,8
NC,CHOWAN,2
NC,CLAY,1
NC,CLEVELAND,12
NC,COLUMBUS,17
NC,CRAVEN,14
NC,CUMBERLAND,39
NC,CURRITUCK,29
NC,DARE,3
NC,DAVIDSON,90
NC,DAVIE,28
NC,DUPLIN,4
NC,DURHAM,24
NC,EDGECOMBE,7
NC,FORSYTH,77
NC,FRANKLIN,5
NC,GASTON,55
NC,GATES,6
NC,GRAHAM,2
NC,GRANVILLE,8
NC,GUILFORD,78
NC,HALIFAX,36
NC,HARNETT,15
NC,HAYWOOD,21
NC,HENDERSON,32
NC,HERTFORD,3
NC,HOKE,4
NC,IREDELL,48
NC,JACKSON,8
NC,JOHNSTON,56
NC,LEE,8
NC,LENOIR,5
NC,LINCOLN,19
NC,MADISON,66
NC,MARTIN,4
NC,MCDOWELL,26
NC,MECKLENBURG,224
NC,MITCHELL,13
NC,MONTGOMERY,22
NC,MOORE,41
NC,NASH,205
NC,NEW HANOVER,45
NC,NORTHAMPTON,15
NC,ONSLOW,4
NC,ORANGE,15
NC,PAMLICO,1
NC,PASQUOTANK,16
NC,PENDER,18
NC,PERQUIMANS,2
NC,PERSON,2
NC,PITT,19
NC,POLK,5
NC,RANDOLPH,18
NC,RICHMOND,291
NC,ROBESON,122
NC,ROCKINGHAM,12
NC,ROWAN,228
NC,RUTHERFORD,30
NC,SAMPSON,5
NC,SCOTLAND,30
NC,STANLY,49
NC,STOKES,9
NC,SURRY,30
NC,SWAIN,3
NC,TRANSYLVANIA,4
NC,UNION,50
NC,VANCE,4
NC,WAKE,322
NC,WARREN,6
NC,WASHINGTON,6
NC,WATAUGA,1
NC,WAYNE,15
NC,WILKES,1
NC,WILSON,49
NC,YADKIN,6
NC,YANCEY,23
ND,ADAMS,2
ND,BARNES,25
ND,BENSON,2
ND,BOTTINEAU,6
ND,BOWMAN,1
ND,BURKE,7
ND,BURLEIGH,317
ND,CASS,373
ND,CAVALIER,2
ND,DICKEY,11
ND,DIVIDE,12
ND,DUNN,1
ND,EDDY,7
ND,EMMONS,2
ND,FOSTER,14
ND,GOLDEN VALLEY,4
ND,GRAND FORKS,173
ND,GRANT,5
ND,GRIGGS,2
ND,HETTINGER,1
ND,KIDDER,9
ND,LAMOURE,5
ND,LOGAN,2
ND,MCHENRY,78
ND,MCINTOSH,10
ND,MCKENZIE,1
ND,MCLEAN,34
ND,MORTON,191
ND,MOUNTRAIL,14
ND,NELSON,6
ND,OLIVER,2
ND,PEMBINA,4
ND,PIERCE,9
ND,RAMSEY,14
ND,RANSOM,70
ND,RENVILLE,8
ND,RICHLAND,58
ND,ROLETTE,6
ND,SARGENT,3
ND,SHERIDAN,8
ND,SIOUX,1
ND,SLOPE,2
ND,STARK,34
ND,STUTSMAN,48
ND,TRAILL,11
ND,WALSH,76
ND,WARD,407
ND,WELLS,101
ND,WILLIAMS,25
NE,ADAMS,77
NE,ANTELOPE,2
NE,ARTHUR,2
NE,BANNER,8
NE,BLAINE,2
NE,BOONE,2
NE,BOX BUTTE,1168
NE,BROWN,1
NE,BUFFALO,107
NE,BURT,9
NE,BUTLER,40
NE,CASS,192
NE,CEDAR,8
NE,CHASE,2
NE,CHERRY,1
NE,CHEYENNE,68
NE,CLAY,13
NE,COLFAX,4
NE,CUMING,4
NE,CUSTER,82
NE,DAKOTA,35
NE,DAWES,120
NE,DAWSON,142
NE,DEUEL,13
NE,DIXON,5
NE,DODGE,78
NE,DOUGLAS,3797
NE,DUNDY,5
NE,FILLMORE,13
NE,FRANKLIN,3
NE,FRONTIER,30
NE,FURNAS,18
NE,GAGE,152
NE,GARDEN,21
NE,GOSPER,9
NE,GRANT,8
NE,GREELEY,3
NE,HALL,135
NE,HAMILTON,14
NE,HARLAN,4
NE,HAYES,3
NE,HITCHCOCK,15
NE,HOLT,3
NE,HOOKER,17
NE,HOWARD,21
NE,JEFFERSON,42
NE,JOHNSON,30
NE,KEARNEY,6
NE,KEITH,98
NE,KIMBALL,24
NE,KNOX,9
NE,LANCASTER,1619
NE,LINCOLN,2289
NE,LOGAN,35
NE,LOUP,1
NE,MADISON,45
NE,MCPHERSON,19
NE,MERRICK,14
NE,MORRILL,112
NE,NANCE,1
NE,NEMAHA,12
NE,NUCKOLLS,8
NE,OTOE,71
NE,PAWNEE,7
NE,PERKINS,20
NE,PHELPS,7
NE,PIERCE,7
NE,PLATTE,92
NE,POLK,8
NE,RED WILLOW,124
NE,RICHARDSON,66
NE,ROCK,1
NE,SALINE,41
NE,SARPY,840
NE,SAUNDERS,123
NE,SCOTTS BLUFF,614
NE,SEWARD,114
NE,SHERIDAN,49
NE,SHERMAN,18
NE,SIOUX,1
NE,STANTON,11
NE,THAYER,22
NE,THOMAS,5
NE,THURSTON,1
NE,VALLEY,13
NE,WASHINGTON,75
NE,WAYNE,3
NE,WEBSTER,5
NE,YORK,18
NH,BELKNAP,2
NH,CARROLL,12
NH,CHESHIRE,28
NH,COOS,19
NH,GRAFTON,7
NH,HILLSBOROUGH,136
NH,MERRIMACK,9
NH,ROCKINGHAM,146
NH,STRAFFORD,27
NH,SULLIVAN,7
NJ,ATLANTIC,58
NJ,BERGEN,513
NJ,BURLINGTON,464
NJ,CAMDEN,427
NJ,CAPE MAY,19
NJ,CUMBERLAND,39
NJ,ESSEX,1097
NJ,GLOUCESTER,270
NJ,HUDSON,871
NJ,HUNTERDON,68
NJ,MERCER,361
NJ,MIDDLESEX,955
NJ,MONMOUTH,862
NJ,MORRIS,296
NJ,OCEAN,589
NJ,PASSAIC,231
NJ,SALEM,30
NJ,SOMERSET,148
NJ,SUSSEX,178
NJ,UNION,738
NJ,WARREN,115
NM,BERNALILLO,227
NM,CATRON,4
NM,CHAVES,14
NM,CIBOLA,27
NM,COLFAX,25
NM,CURRY,431
NM,DE BACA,7
NM,DONA ANA,91
NM,EDDY,43
NM,GRANT,13
NM,GUADALUPE,8
NM,HIDALGO,11
NM,LEA,4
NM,LINCOLN,7
NM,LUNA,41
NM,MCKINLEY,240
NM,OTERO,45
NM,QUAY,42
NM,RIO ARRIBA,2
NM,ROOSEVELT,58
NM,SAN JUAN,56
NM,SAN MIGUEL,6
NM,SANDOVAL,80
NM,SANTA FE,26
NM,SIERRA,3
NM,SOCORRO,12
NM,TORRANCE,29
NM,UNION,5
NM,VALENCIA,401
NV,CHURCHILL,5
NV,CLARK,269
NV,ELKO,77
NV,HUMBOLDT,47
NV,INDEPENDENT CITY,8
NV,LANDER,5
NV,LINCOLN,26
NV,LYON,42
NV,NYE,12
NV,PERSHING,5
NV,STOREY,1
NV,WASHOE,249
NY,ALBANY,629
NY,ALLEGANY,55
NY,BRONX,648
NY,BROOME,141
NY,CATTARAUGUS,72
NY,CAYUGA,36
NY,CHAUTAUQUA,57
NY,CHEMUNG,21
NY,CHENANGO,39
NY,CLINTON,24
NY,COLUMBIA,126
NY,CORTLAND,11
NY,DELAWARE,25
NY,DUTCHESS,1157
NY,ERIE,784
NY,ESSEX,27
NY,FRANKLIN,11
NY,FULTON,20
NY,GENESEE,46
NY,GREENE,196
NY,HERKIMER,48
NY,JEFFERSON,19
NY,KINGS,970
NY,LEWIS,5
NY,LIVINGSTON,71
NY,MADISON,43
NY,MONROE,131
NY,MONTGOMERY,36
NY,NASSAU,2076
NY,NEW YORK,373
NY,NIAGARA,119
NY,ONEIDA,72
NY,ONONDAGA,184
NY,ONTARIO,33
NY,ORANGE,342
NY,ORLEANS,11
NY,OSWEGO,91
NY,OTSEGO,89
NY,PUTNAM,317
NY,QUEENS,1470
NY,RENSSELAER,358
NY,RICHMOND,177
NY,ROCKLAND,89
NY,SARATOGA,233
NY,SCHENECTADY,149
NY,SCHOHARIE,43
NY,SCHUYLER,7
NY,SENECA,13
NY,ST LAWRENCE,79
NY,STEUBEN,99
NY,SUFFOLK,3685
NY,SULLIVAN,14
NY,TIOGA,32
NY,TOMPKINS,8
NY,ULSTER,211
NY,WARREN,26
NY,WASHINGTON,60
NY,WAYNE,46
NY,WESTCHESTER,1040
NY,WYOMING,50
NY,YATES,6
OH,ADAMS,24
OH,ALLEN,92
OH,ASHLAND,56
OH,ASHTABULA,270
OH,ATHENS,21
OH,AUGLAIZE,23
OH,BELMONT,22
OH,BROWN,14
OH,BUTLER,220
OH,CARROLL,25
OH,CHAMPAIGN,28
OH,CLARK,23
OH,CLERMONT,68
